Locus	Aver. coding region length(bp)	Aver. flanking region length(bp)	Alignment length(bp)	Aver. GC content(%)	Missing data(%)	Pairwise distance
Tetraodon_nigroviridis.1.4165104.4165241	121.63	153.10	123	55.39	1.11	0.02
Tetraodon_nigroviridis.1.4304376.4304224	148.99	259.94	150	38.94	0.68	0.02
Tetraodon_nigroviridis.1.4954076.4954410	328.20	243.41	333	50.49	1.44	0.03
Tetraodon_nigroviridis.1.511011.510827	153.00	321.84	153	52.53	0.00	0.02
Tetraodon_nigroviridis.1.5849886.5849663	218.74	192.89	219	59.38	0.12	0.07
Tetraodon_nigroviridis.1.9135156.9135350	190.87	247.40	192	51.12	0.59	0.03
Tetraodon_nigroviridis.1.9714440.9714733	289.52	242.80	291	67.40	0.51	0.03
Tetraodon_nigroviridis.10.10552375.10552186	189.00	211.55	189	59.69	0.00	0.02
Tetraodon_nigroviridis.10.10570254.10570100	150.00	249.46	150	60.30	0.00	0.02
Tetraodon_nigroviridis.10.10573892.10573746	145.21	220.65	147	52.82	1.22	0.02
Tetraodon_nigroviridis.10.10575930.10575720	209.84	269.62	210	58.29	0.08	0.02
Tetraodon_nigroviridis.10.10576506.10576268	235.97	237.20	237	60.06	0.44	0.02
Tetraodon_nigroviridis.10.10577363.10577237	123.72	128.68	126	56.61	1.81	0.02
Tetraodon_nigroviridis.10.10578640.10578433	197.68	279.00	201	59.28	1.65	0.02
Tetraodon_nigroviridis.10.10654298.10654440	136.50	167.74	138	63.19	1.09	0.04
Tetraodon_nigroviridis.10.1084664.1084792	125.20	94.92	129	59.82	2.95	0.05
Tetraodon_nigroviridis.10.11724878.11725045	162.17	232.19	165	59.05	1.72	0.04
Tetraodon_nigroviridis.10.11919111.11918596	492.85	200.00	528	57.18	6.66	0.05
Tetraodon_nigroviridis.10.11971666.11971886	218.97	245.89	219	60.02	0.01	0.03
Tetraodon_nigroviridis.10.12170426.12170281	143.94	235.64	144	56.72	0.04	0.02
Tetraodon_nigroviridis.10.12172192.12172009	183.00	260.38	183	58.60	0.00	0.03
Tetraodon_nigroviridis.10.12527757.12527608	143.97	202.94	147	64.00	2.06	0.02
Tetraodon_nigroviridis.10.12724961.12724768	185.91	216.32	186	60.35	0.05	0.04
Tetraodon_nigroviridis.10.12726251.12726067	159.82	188.79	162	60.48	1.34	0.03
Tetraodon_nigroviridis.10.12907417.12907683	257.32	214.82	261	69.58	1.41	0.04
Tetraodon_nigroviridis.10.1602547.1602345	193.15	177.44	198	59.48	2.45	0.04
Tetraodon_nigroviridis.10.2437973.2437757	212.23	212.90	213	63.60	0.36	0.03
Tetraodon_nigroviridis.10.2438935.2438801	130.32	164.58	132	57.66	1.27	0.01
Tetraodon_nigroviridis.10.2441101.2440912	185.34	241.12	186	61.02	0.36	0.02
Tetraodon_nigroviridis.10.2447263.2447083	177.22	165.54	180	57.30	1.54	0.02
Tetraodon_nigroviridis.10.2456927.2456692	226.08	131.73	231	63.35	2.13	0.03
Tetraodon_nigroviridis.10.2461829.2461645	173.07	235.39	183	65.28	5.43	0.02
Tetraodon_nigroviridis.10.2479080.2478925	152.33	271.65	153	55.36	0.44	0.01
Tetraodon_nigroviridis.10.3517898.3518037	122.70	196.80	123	55.56	0.24	0.02
Tetraodon_nigroviridis.10.3734865.3734990	125.80	239.08	126	52.09	0.16	0.03
Tetraodon_nigroviridis.10.4326409.4326970	547.42	245.36	555	58.71	1.37	0.02
Tetraodon_nigroviridis.10.4992969.4992828	140.69	276.06	141	53.24	0.22	0.02
Tetraodon_nigroviridis.10.4993447.4993203	239.27	275.79	246	52.95	2.74	0.04
Tetraodon_nigroviridis.10.4994407.4994150	238.12	224.84	240	57.36	0.78	0.04
Tetraodon_nigroviridis.10.5462041.5462250	205.41	199.31	207	51.73	0.77	0.04
Tetraodon_nigroviridis.10.5835967.5835838	127.66	194.45	129	50.37	1.04	0.03
Tetraodon_nigroviridis.10.5837504.5837191	304.14	202.55	312	58.69	2.52	0.01
Tetraodon_nigroviridis.10.5881391.5881242	143.03	178.72	144	44.24	0.68	0.03
Tetraodon_nigroviridis.10.6145398.6145586	185.66	247.93	186	53.47	0.18	0.02
Tetraodon_nigroviridis.10.7805010.7805156	146.97	346.98	147	51.09	0.02	0.01
Tetraodon_nigroviridis.10.7807188.7807343	153.99	263.31	156	59.51	1.29	0.01
Tetraodon_nigroviridis.10.7809413.7809586	170.91	309.91	171	50.78	0.05	0.02
Tetraodon_nigroviridis.10.7809674.7810028	351.43	258.65	354	52.88	0.73	0.04
Tetraodon_nigroviridis.10.7817073.7817201	119.97	284.12	120	52.96	0.03	0.02
Tetraodon_nigroviridis.10.7824568.7824710	137.00	101.48	141	58.95	2.84	0.05
Tetraodon_nigroviridis.10.8322681.8322822	137.81	253.26	138	50.12	0.13	0.05
Tetraodon_nigroviridis.10.8709471.8709300	164.46	206.77	165	52.50	0.32	0.07
Tetraodon_nigroviridis.10.8945859.8945694	161.59	244.16	162	61.85	0.25	0.02
Tetraodon_nigroviridis.10.9292943.9293086	143.69	212.94	144	49.73	0.21	0.01
Tetraodon_nigroviridis.10.9715448.9715311	136.06	190.84	138	61.03	1.40	0.04
Tetraodon_nigroviridis.11.11125510.11125703	186.00	251.85	186	58.28	0.00	0.04
Tetraodon_nigroviridis.11.11127222.11127467	239.14	192.90	240	62.35	0.36	0.04
Tetraodon_nigroviridis.11.11590992.11591167	173.81	197.18	174	54.12	0.11	0.03
Tetraodon_nigroviridis.11.1239554.1239414	137.18	211.99	138	60.04	0.59	0.03
Tetraodon_nigroviridis.11.1239818.1239633	182.96	219.07	186	55.32	1.64	0.03
Tetraodon_nigroviridis.11.1886156.1886401	242.08	191.23	246	64.60	1.59	0.02
Tetraodon_nigroviridis.11.2082077.2082226	143.58	185.02	147	58.54	2.33	0.03
Tetraodon_nigroviridis.11.2323116.2322893	205.40	203.27	207	59.55	0.77	0.07
Tetraodon_nigroviridis.11.2581162.2581381	219.00	237.53	219	60.61	0.00	0.03
Tetraodon_nigroviridis.11.2653639.2653831	186.00	266.40	186	59.90	0.00	0.03
Tetraodon_nigroviridis.11.3046273.3046090	182.58	222.67	183	52.80	0.23	0.02
Tetraodon_nigroviridis.11.4827077.4826917	155.91	316.34	156	48.66	0.06	0.01
Tetraodon_nigroviridis.11.5466545.5467014	458.27	231.71	474	50.91	3.32	0.02
Tetraodon_nigroviridis.11.5997944.5997782	154.58	163.71	159	49.70	2.78	0.02
Tetraodon_nigroviridis.11.6042394.6042193	200.48	200.74	201	49.91	0.26	0.06
Tetraodon_nigroviridis.11.6058677.6058199	467.94	244.82	474	56.05	1.28	0.05
Tetraodon_nigroviridis.11.6646765.6646626	137.74	268.80	138	50.60	0.19	0.01
Tetraodon_nigroviridis.11.7215334.7215513	168.27	118.42	177	56.45	4.93	0.05
Tetraodon_nigroviridis.11.7448114.7448266	146.31	193.97	150	47.71	2.46	0.04
Tetraodon_nigroviridis.11.7494876.7495118	232.19	239.84	234	54.74	0.77	0.03
Tetraodon_nigroviridis.11.7967467.7967291	176.39	280.24	177	51.91	0.34	0.03
Tetraodon_nigroviridis.11.8395509.8395302	201.85	195.66	204	61.36	1.05	0.03
Tetraodon_nigroviridis.11.9424083.9424253	167.34	190.57	168	59.87	0.39	0.07
Tetraodon_nigroviridis.12.10757985.10758253	246.32	194.03	252	62.11	2.25	0.03
Tetraodon_nigroviridis.12.10783320.10783482	157.88	219.29	159	50.80	0.71	0.05
Tetraodon_nigroviridis.12.10805059.10805365	300.65	217.68	306	52.52	1.75	0.03
Tetraodon_nigroviridis.12.10807658.10807874	215.97	335.85	216	59.73	0.01	0.02
Tetraodon_nigroviridis.12.10808084.10808227	137.71	208.73	141	54.39	2.33	0.03
Tetraodon_nigroviridis.12.11036749.11036367	369.00	213.62	378	63.00	2.38	0.05
Tetraodon_nigroviridis.12.11561273.11561416	142.59	238.00	144	44.56	0.98	0.01
Tetraodon_nigroviridis.12.11589083.11588859	221.85	285.47	222	57.01	0.07	0.01
Tetraodon_nigroviridis.12.11589359.11589163	193.57	275.19	195	58.20	0.74	0.02
Tetraodon_nigroviridis.12.11834359.11834181	170.69	229.06	171	57.28	0.18	0.03
Tetraodon_nigroviridis.12.11917870.11918072	181.48	244.42	183	48.42	0.83	0.03
Tetraodon_nigroviridis.12.11921619.11921828	205.50	280.37	207	51.28	0.72	0.02
Tetraodon_nigroviridis.12.11922472.11922642	171.00	282.73	171	50.32	0.00	0.02
Tetraodon_nigroviridis.12.12265238.12265036	200.38	279.99	201	57.75	0.31	0.02
Tetraodon_nigroviridis.12.1246769.1246957	187.77	173.33	192	60.28	2.20	0.05
Tetraodon_nigroviridis.12.12495836.12495630	133.45	200.35	138	66.32	3.30	0.04
Tetraodon_nigroviridis.12.3141167.3140974	191.29	248.16	192	57.82	0.37	0.03
Tetraodon_nigroviridis.12.3476176.3475960	215.29	189.35	216	66.52	0.33	0.04
Tetraodon_nigroviridis.12.3508781.3508551	227.44	178.31	231	62.39	1.54	0.02
Tetraodon_nigroviridis.12.4528654.4528475	175.97	268.85	177	57.94	0.58	0.02
Tetraodon_nigroviridis.12.4529651.4529530	119.61	159.17	120	51.01	0.33	0.02
Tetraodon_nigroviridis.12.559736.559600	131.39	247.84	132	43.65	0.46	0.03
Tetraodon_nigroviridis.12.6222777.6222582	194.59	270.87	195	52.76	0.21	0.04
Tetraodon_nigroviridis.12.624348.624505	155.76	195.27	156	53.58	0.16	0.06
Tetraodon_nigroviridis.12.6273202.6273393	188.34	289.81	189	59.96	0.35	0.04
Tetraodon_nigroviridis.12.6852076.6851937	136.57	250.03	138	48.08	1.03	0.03
Tetraodon_nigroviridis.12.6958819.6958526	278.57	258.83	279	52.41	0.16	0.02
Tetraodon_nigroviridis.12.7168412.7168621	200.63	292.95	201	54.19	0.18	0.03
Tetraodon_nigroviridis.12.8613014.8613166	148.55	222.74	150	53.47	0.97	0.04
Tetraodon_nigroviridis.12.9106978.9106721	257.01	225.54	258	58.68	0.38	0.03
Tetraodon_nigroviridis.12.9514024.9514212	186.75	158.09	189	64.27	1.19	0.02
Tetraodon_nigroviridis.13.10716890.10716671	213.96	274.19	216	60.57	0.95	0.02
Tetraodon_nigroviridis.13.10732101.10731973	125.71	263.95	126	55.85	0.23	0.01
Tetraodon_nigroviridis.13.11933976.11933807	161.30	134.98	168	62.39	3.99	0.02
Tetraodon_nigroviridis.13.12258913.12259120	206.81	175.72	207	67.01	0.09	0.05
Tetraodon_nigroviridis.13.1419574.1420251	652.25	209.02	675	60.29	3.37	0.02
Tetraodon_nigroviridis.13.3412642.3412420	215.94	221.11	222	63.25	2.73	0.02
Tetraodon_nigroviridis.13.3618119.3618297	175.66	222.43	177	49.43	0.76	0.04
Tetraodon_nigroviridis.13.3662787.3662966	152.67	204.22	159	59.22	3.98	0.11
Tetraodon_nigroviridis.13.3699183.3699369	181.09	173.50	186	52.58	2.64	0.03
Tetraodon_nigroviridis.13.4435170.4434644	520.72	273.27	525	56.64	0.82	0.03
Tetraodon_nigroviridis.13.5082950.5082806	143.10	303.55	144	49.74	0.63	0.01
Tetraodon_nigroviridis.13.5169791.5170129	332.32	261.50	339	56.52	1.97	0.03
Tetraodon_nigroviridis.13.5174660.5174780	119.31	213.36	120	59.94	0.57	0.04
Tetraodon_nigroviridis.13.5229998.5230908	876.24	189.25	942	57.93	6.98	0.02
Tetraodon_nigroviridis.13.5452350.5452197	149.73	214.71	153	58.96	2.14	0.04
Tetraodon_nigroviridis.13.5945359.5946642	1125.33	180.56	1284	59.57	12.36	0.05
Tetraodon_nigroviridis.13.7293951.7293441	499.76	186.71	510	56.79	2.01	0.03
Tetraodon_nigroviridis.13.7975553.7975403	142.89	241.16	147	52.33	2.80	0.02
Tetraodon_nigroviridis.13.8426002.8425806	179.60	234.71	183	63.90	1.86	0.02
Tetraodon_nigroviridis.13.9643928.9644122	194.33	176.59	195	67.11	0.34	0.03
Tetraodon_nigroviridis.14.1351621.1351771	145.15	161.17	147	57.26	1.26	0.02
Tetraodon_nigroviridis.14.1534424.1534176	248.08	204.39	249	58.42	0.37	0.02
Tetraodon_nigroviridis.14.1551866.1552040	174.00	297.88	174	51.90	0.00	0.01
Tetraodon_nigroviridis.14.1552621.1552753	128.28	191.87	129	52.19	0.56	0.02
Tetraodon_nigroviridis.14.1553635.1553770	131.33	186.35	135	56.40	2.72	0.03
Tetraodon_nigroviridis.14.1568712.1568398	305.92	193.95	309	59.13	1.00	0.02
Tetraodon_nigroviridis.14.2732693.2732471	220.67	295.36	222	53.24	0.60	0.01
Tetraodon_nigroviridis.14.2733367.2733158	200.15	419.17	201	47.35	0.42	0.02
Tetraodon_nigroviridis.14.2879292.2879458	163.36	180.64	165	54.98	0.99	0.02
Tetraodon_nigroviridis.14.4374886.4374628	256.68	221.78	258	52.57	0.51	0.03
Tetraodon_nigroviridis.14.4381941.4381812	125.97	206.53	126	54.99	0.02	0.04
Tetraodon_nigroviridis.14.4880231.4880672	435.10	275.72	447	57.68	2.66	0.02
Tetraodon_nigroviridis.14.4981934.4982152	213.48	267.44	216	56.51	1.17	0.01
Tetraodon_nigroviridis.14.5003764.5004693	915.36	295.81	930	58.19	1.57	0.03
Tetraodon_nigroviridis.14.5094323.5094195	129.00	296.04	129	48.97	0.00	0.01
Tetraodon_nigroviridis.14.5095219.5095024	194.05	285.05	195	50.45	0.49	0.03
Tetraodon_nigroviridis.14.5406922.5407047	122.74	285.51	123	48.22	0.21	0.02
Tetraodon_nigroviridis.14.6009453.6009298	151.52	217.11	153	59.84	0.97	0.03
Tetraodon_nigroviridis.14.6014338.6014173	158.76	219.31	162	57.88	2.00	0.01
Tetraodon_nigroviridis.14.6231114.6230963	147.67	256.01	150	63.30	1.55	0.02
Tetraodon_nigroviridis.14.6249447.6249593	144.00	262.22	144	52.52	0.00	0.02
Tetraodon_nigroviridis.14.6466710.6466585	125.47	206.57	126	54.91	0.42	0.05
Tetraodon_nigroviridis.14.649283.649576	287.84	210.11	294	57.46	2.09	0.05
Tetraodon_nigroviridis.14.6644319.6644188	130.17	151.42	132	56.59	1.38	0.03
Tetraodon_nigroviridis.14.6769493.6769699	203.53	237.55	204	51.50	0.23	0.01
Tetraodon_nigroviridis.14.6820236.6820417	162.00	267.19	162	49.61	0.00	0.03
Tetraodon_nigroviridis.14.7927557.7927714	155.23	232.88	156	65.20	0.49	0.02
Tetraodon_nigroviridis.14.9025386.9025197	179.91	264.29	183	61.39	1.69	0.01
Tetraodon_nigroviridis.14.9040119.9040257	135.74	174.93	138	51.73	1.64	0.04
Tetraodon_nigroviridis.14.9520621.9520376	243.89	216.16	249	56.61	2.05	0.03
Tetraodon_nigroviridis.15.4689463.4689271	188.36	240.33	189	56.90	0.34	0.03
Tetraodon_nigroviridis.15.4933168.4933380	209.58	262.66	210	52.20	0.20	0.02
Tetraodon_nigroviridis.15.661841.661634	192.00	140.88	198	62.93	3.03	0.11
Tetraodon_nigroviridis.15_random.106429.106287	135.54	127.27	141	62.22	3.87	0.04
Tetraodon_nigroviridis.15_random.1188920.1189045	122.94	259.79	123	45.76	0.05	0.02
Tetraodon_nigroviridis.15_random.1343084.1343218	135.00	78.55	135	50.83	0.00	0.08
Tetraodon_nigroviridis.15_random.1348071.1347882	131.22	180.47	132	56.66	0.59	0.05
Tetraodon_nigroviridis.15_random.1632813.1632933	116.91	219.58	117	49.84	0.08	0.08
Tetraodon_nigroviridis.15_random.420661.420455	204.71	206.96	207	60.25	1.11	0.03
Tetraodon_nigroviridis.15_random.812247.812111	131.81	249.81	132	54.66	0.15	0.04
Tetraodon_nigroviridis.15_random.819051.818881	170.91	319.46	171	48.44	0.05	0.02
Tetraodon_nigroviridis.16.1199095.1199265	167.94	238.05	168	61.04	0.04	0.02
Tetraodon_nigroviridis.16.1657913.1657669	241.99	310.55	243	52.88	0.42	0.02
Tetraodon_nigroviridis.16.2100040.2100177	134.23	260.17	135	55.14	0.57	0.02
Tetraodon_nigroviridis.16.3251890.3252044	148.98	172.68	153	52.37	2.63	0.04
Tetraodon_nigroviridis.16.3252118.3252277	158.57	263.63	159	58.52	0.27	0.02
Tetraodon_nigroviridis.16.3392658.3392508	146.69	222.32	147	49.78	0.21	0.02
Tetraodon_nigroviridis.16.3836777.3836983	207.00	302.12	207	61.09	0.00	0.02
Tetraodon_nigroviridis.16.5672884.5672747	138.00	318.42	138	47.83	0.00	0.01
Tetraodon_nigroviridis.16.5834404.5834230	170.35	211.97	174	55.57	2.10	0.01
Tetraodon_nigroviridis.16.6263688.6263936	240.35	234.54	243	54.40	1.09	0.03
Tetraodon_nigroviridis.16.6265551.6265699	143.66	318.53	144	48.89	0.23	0.01
Tetraodon_nigroviridis.16.6296718.6296912	191.94	282.07	192	55.51	0.03	0.03
Tetraodon_nigroviridis.16.6517969.6517808	158.20	238.55	159	61.32	0.51	0.02
Tetraodon_nigroviridis.16.6523215.6523362	147.00	258.79	147	61.63	0.00	0.02
Tetraodon_nigroviridis.16.6532478.6532636	156.00	203.18	159	62.98	1.89	0.02
Tetraodon_nigroviridis.16.6532799.6532929	125.29	124.58	129	58.98	2.88	0.02
Tetraodon_nigroviridis.16.6843153.6843278	125.61	171.16	126	67.06	0.31	0.05
Tetraodon_nigroviridis.16.7117629.7117447	177.32	193.77	180	67.95	1.49	0.02
Tetraodon_nigroviridis.16.7120772.7120614	153.62	152.47	156	54.78	1.53	0.05
Tetraodon_nigroviridis.16.7121091.7120867	222.00	268.20	222	60.64	0.00	0.02
Tetraodon_nigroviridis.16.7828682.7828136	481.10	73.50	552	56.80	12.84	0.03
Tetraodon_nigroviridis.16.7971728.7971594	132.79	127.97	135	59.80	1.64	0.07
Tetraodon_nigroviridis.16.8363436.8363162	262.42	223.28	264	65.97	0.60	0.03
Tetraodon_nigroviridis.17.1008128.1007930	192.14	166.76	201	61.89	4.41	0.06
Tetraodon_nigroviridis.17.1066767.1066532	231.55	132.06	234	50.80	1.05	0.08
Tetraodon_nigroviridis.17.11174179.11174392	207.13	246.04	210	59.21	1.37	0.03
Tetraodon_nigroviridis.17.11175958.11176096	135.00	230.70	135	50.90	0.00	0.04
Tetraodon_nigroviridis.17.11433755.11433605	146.13	228.87	147	57.08	0.59	0.03
Tetraodon_nigroviridis.17.1197801.1197672	126.94	204.58	129	67.70	1.60	0.03
Tetraodon_nigroviridis.17.12016208.12016050	155.78	224.91	156	45.61	0.14	0.03
Tetraodon_nigroviridis.17.1380065.1380241	169.45	136.88	171	55.40	0.90	0.07
Tetraodon_nigroviridis.17.3178248.3178111	136.98	209.59	138	54.75	0.74	0.03
Tetraodon_nigroviridis.17.3246821.3246679	140.38	306.77	141	46.55	0.44	0.02
Tetraodon_nigroviridis.17.3394488.3394162	318.60	207.15	324	58.22	1.67	0.04
Tetraodon_nigroviridis.17.4091888.4091700	185.97	281.09	186	49.62	0.02	0.01
Tetraodon_nigroviridis.17.4799587.4800021	409.50	61.00	447	56.06	8.39	0.18
Tetraodon_nigroviridis.17.4986989.4986831	152.50	249.04	153	50.48	0.33	0.05
Tetraodon_nigroviridis.17.5106793.5107002	205.48	272.49	207	54.73	0.73	0.04
Tetraodon_nigroviridis.17.534080.534219	132.06	248.34	138	58.33	4.30	0.02
Tetraodon_nigroviridis.17.5587047.5587238	191.88	313.38	192	51.88	0.06	0.02
Tetraodon_nigroviridis.17.597173.597014	154.42	280.58	156	65.83	1.01	0.01
Tetraodon_nigroviridis.17.6018670.6018816	138.67	185.62	144	48.48	3.70	0.03
Tetraodon_nigroviridis.17.6600380.6600160	207.60	250.22	213	47.72	2.54	0.03
Tetraodon_nigroviridis.17.7869932.7870103	165.83	164.67	168	59.94	1.29	0.06
Tetraodon_nigroviridis.17.8101978.8102169	185.78	198.34	189	60.66	1.70	0.03
Tetraodon_nigroviridis.17.909512.909682	170.33	260.59	171	62.75	0.39	0.02
Tetraodon_nigroviridis.17.9333124.9332849	246.49	204.21	276	60.01	10.69	0.03
Tetraodon_nigroviridis.18.10815250.10815392	139.46	194.46	141	60.53	1.09	0.02
Tetraodon_nigroviridis.18.10862719.10862519	196.33	180.26	201	65.57	2.32	0.03
Tetraodon_nigroviridis.18.10903732.10904334	489.46	86.46	564	68.30	13.22	0.06
Tetraodon_nigroviridis.18.10911133.10910911	218.78	221.80	219	62.38	0.10	0.01
Tetraodon_nigroviridis.18.2295740.2295908	163.08	294.40	165	56.30	1.17	0.03
Tetraodon_nigroviridis.18.2453198.2453061	134.01	238.73	135	56.48	0.73	0.03
Tetraodon_nigroviridis.18.2454854.2454707	145.92	236.64	147	53.70	0.73	0.03
Tetraodon_nigroviridis.18.2540386.2540569	170.13	219.45	174	65.53	2.23	0.03
Tetraodon_nigroviridis.18.2822792.2823004	208.81	223.61	210	55.94	0.57	0.02
Tetraodon_nigroviridis.18.2823185.2823376	190.92	240.78	192	61.59	0.56	0.05
Tetraodon_nigroviridis.18.2856457.2856631	166.07	231.63	171	60.71	2.88	0.04
Tetraodon_nigroviridis.18.2859535.2859743	202.83	208.41	204	60.59	0.58	0.02
Tetraodon_nigroviridis.18.3307886.3307717	168.00	258.34	168	56.04	0.00	0.02
Tetraodon_nigroviridis.18.337528.337741	211.89	261.38	213	63.46	0.52	0.02
Tetraodon_nigroviridis.18.3870739.3870548	191.58	221.19	192	59.60	0.22	0.02
Tetraodon_nigroviridis.18.4054525.4054397	126.47	162.29	129	57.82	1.96	0.03
Tetraodon_nigroviridis.18.4200621.4200832	209.31	203.43	210	62.19	0.33	0.02
Tetraodon_nigroviridis.18.4211448.4211215	233.34	234.12	234	60.12	0.28	0.02
Tetraodon_nigroviridis.18.4212009.4211776	233.72	230.77	234	57.21	0.12	0.03
Tetraodon_nigroviridis.18.5636790.5636649	136.98	101.12	141	69.86	2.85	0.06
Tetraodon_nigroviridis.18.5893063.5892922	138.17	132.62	141	51.06	2.00	0.02
Tetraodon_nigroviridis.18.5959876.5959748	128.11	188.39	129	51.08	0.69	0.03
Tetraodon_nigroviridis.18.6473029.6472558	462.31	297.83	474	55.79	2.47	0.02
Tetraodon_nigroviridis.18.7405383.7405516	130.64	269.54	132	50.00	1.03	0.02
Tetraodon_nigroviridis.18.7662090.7661932	158.85	262.32	159	52.43	0.10	0.02
Tetraodon_nigroviridis.19.1646077.1646302	182.24	199.51	201	56.60	9.34	0.05
Tetraodon_nigroviridis.19.2029363.2029196	163.92	171.04	165	57.93	0.65	0.04
Tetraodon_nigroviridis.19.2487255.2487052	202.61	229.54	204	57.94	0.68	0.03
Tetraodon_nigroviridis.19.2980294.2980051	242.10	277.03	243	62.86	0.37	0.03
Tetraodon_nigroviridis.19.3376509.3376667	155.37	252.14	156	64.59	0.40	0.04
Tetraodon_nigroviridis.19.3422239.3422020	218.20	254.44	219	59.30	0.37	0.02
Tetraodon_nigroviridis.19.5521882.5522105	217.91	161.18	222	64.27	1.84	0.05
Tetraodon_nigroviridis.19.5916556.5916774	201.00	267.99	201	61.66	0.00	0.02
Tetraodon_nigroviridis.19.592037.592185	146.37	213.32	147	58.54	0.43	0.02
Tetraodon_nigroviridis.1_random.460096.459955	140.97	255.57	141	51.12	0.02	0.01
Tetraodon_nigroviridis.1_random.482196.481973	220.83	222.10	222	62.28	0.53	0.03
Tetraodon_nigroviridis.1_random.631903.632135	188.33	206.89	222	66.80	15.17	0.05
Tetraodon_nigroviridis.1_random.796714.796874	155.72	254.14	156	61.41	0.18	0.04
Tetraodon_nigroviridis.2.10029579.10029752	135.70	221.67	138	53.76	1.67	0.02
Tetraodon_nigroviridis.2.10050233.10050449	214.79	191.01	216	63.31	0.56	0.04
Tetraodon_nigroviridis.2.10526544.10526320	224.75	264.99	225	59.77	0.11	0.01
Tetraodon_nigroviridis.2.10528571.10528324	243.61	248.42	246	64.56	0.97	0.03
Tetraodon_nigroviridis.2.10541460.10541254	203.91	216.58	204	61.07	0.05	0.07
Tetraodon_nigroviridis.2.10549078.10548874	200.02	183.23	201	62.18	0.49	0.05
Tetraodon_nigroviridis.2.10555584.10555342	240.66	195.88	243	62.86	0.96	0.03
Tetraodon_nigroviridis.2.10659169.10659760	463.11	264.19	483	54.79	4.12	0.04
Tetraodon_nigroviridis.2.11239295.11239471	168.65	226.77	174	47.39	3.08	0.06
Tetraodon_nigroviridis.2.11239859.11240113	251.09	260.87	252	47.40	0.36	0.03
Tetraodon_nigroviridis.2.1170134.1170275	140.62	268.02	141	55.84	0.27	0.02
Tetraodon_nigroviridis.2.13722329.13722174	149.61	258.14	153	46.32	2.21	0.03
Tetraodon_nigroviridis.2.13767114.13766993	119.31	241.80	120	53.48	0.57	0.02
Tetraodon_nigroviridis.2.13909007.13908874	132.00	333.70	132	47.89	0.00	0.02
Tetraodon_nigroviridis.2.13912729.13912299	422.04	217.87	429	61.70	1.62	0.02
Tetraodon_nigroviridis.2.14976222.14976412	153.47	161.98	165	51.16	6.99	0.06
Tetraodon_nigroviridis.2.15425986.15426315	321.00	164.75	321	50.78	0.00	0.13
Tetraodon_nigroviridis.2.15455508.15455670	155.26	260.99	156	46.74	0.48	0.03
Tetraodon_nigroviridis.2.1562403.1562247	152.81	254.60	153	60.74	0.12	0.01
Tetraodon_nigroviridis.2.16932108.16931974	130.43	204.77	132	54.31	1.19	0.02
Tetraodon_nigroviridis.2.1771535.1771798	259.60	266.03	261	55.41	0.54	0.03
Tetraodon_nigroviridis.2.21141292.21141431	136.11	183.86	138	64.02	1.37	0.04
Tetraodon_nigroviridis.2.3297144.3297350	198.67	236.53	201	50.58	1.16	0.04
Tetraodon_nigroviridis.2.5395408.5395587	177.73	170.05	180	68.04	1.26	0.03
Tetraodon_nigroviridis.2.5947345.5947183	158.97	315.54	159	57.16	0.02	0.01
Tetraodon_nigroviridis.2.6113896.6113612	279.37	210.61	282	64.67	0.93	0.03
Tetraodon_nigroviridis.2.6270278.6270436	155.37	236.79	156	53.33	0.40	0.02
Tetraodon_nigroviridis.2.6270696.6270823	124.62	250.57	126	50.84	1.10	0.03
Tetraodon_nigroviridis.2.6403868.6403754	110.52	159.32	111	49.73	0.43	0.01
Tetraodon_nigroviridis.2.6461364.6461546	179.48	232.30	180	56.36	0.29	0.02
Tetraodon_nigroviridis.2.6538598.6538439	158.81	273.29	159	58.61	0.12	0.03
Tetraodon_nigroviridis.2.6840789.6840614	170.27	203.12	174	60.14	2.14	0.03
Tetraodon_nigroviridis.2.6843495.6843345	149.72	319.55	150	54.24	0.18	0.04
Tetraodon_nigroviridis.2.6885537.6885745	200.23	233.52	201	60.14	0.39	0.03
Tetraodon_nigroviridis.2.7232790.7232967	176.16	206.41	177	60.75	0.47	0.07
Tetraodon_nigroviridis.2.7235381.7235547	150.36	148.88	156	55.94	3.62	0.06
Tetraodon_nigroviridis.2.797921.797689	228.80	213.86	231	65.72	0.95	0.04
Tetraodon_nigroviridis.2.8660612.8660740	125.90	150.76	129	56.01	2.41	0.04
Tetraodon_nigroviridis.2.8909251.8909116	134.08	166.66	135	54.76	0.68	0.02
Tetraodon_nigroviridis.2.8985830.8985633	194.79	215.62	198	63.98	1.62	0.03
Tetraodon_nigroviridis.2.9149046.9149202	149.39	141.91	153	63.64	2.36	0.01
Tetraodon_nigroviridis.2.9375060.9374864	194.94	124.03	195	53.63	0.03	0.09
Tetraodon_nigroviridis.2.9552187.9551993	169.88	167.86	171	61.12	0.66	0.03
Tetraodon_nigroviridis.2.9552552.9552415	128.75	245.69	129	56.07	0.19	0.01
Tetraodon_nigroviridis.2.9626068.9626286	211.98	217.58	216	63.44	1.86	0.03
Tetraodon_nigroviridis.2.9641348.9641130	218.66	283.24	219	62.79	0.16	0.02
Tetraodon_nigroviridis.2.9862405.9862088	300.86	219.88	312	62.04	3.57	0.02
Tetraodon_nigroviridis.20.2618093.2617929	161.27	258.69	162	53.74	0.45	0.02
